id,author,category,keywords,parentcatid,parentcatcode,parentcatname,parentcatslug,provider,pubDate,status,subcategoryid,subcategorycode,subcategoryname,subcategoryparentid,subcategoryparentcode,subcategoryparentname,subcategoryparentslug,subcategoryslug,title,topic,url
5a521e47670c7645a286c1d7,Richard Lawler,"[ ""Technology"", ""Audio Video"" ]","av, ces2018, gear, lg, lgdisplay, oled, rollable",5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,Engadget,1515296640000,classified,5a4468486f7af13a5a457c5f,IAB19-66,Audio Video,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,audio_video,LG Display delivers a 65-inch rollable OLED,Technology,https://www.engadget.com/2018/01/06/lg-display-delivers-a-65-inch-rollable-oled/
5a521e47670c7645a286c1d8,Jon Fingas,"[ ""Technology"", ""Gaming"" ]","epic games, fortnite, games, gaming, gear, internet, meltdown, multiplayer, personal computing, security, video games",5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,Engadget,1515292380000,classified,5a4468486f7af13a5a457c67,IAB19-68,Gaming,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,gaming,Epic pins 'Fortnite' server woes on Meltdown patches,Technology,https://www.engadget.com/2018/01/06/epic-blames-meltdown-patches-on-fortnite-problems/
5a521e47670c7645a286c1d9,Nathan Ingraham,"[ ""Technology"", ""Google"" ]","ai, ces2018, gear, google, google assistant, lasvegas, monorail, personal computing, personalcomputing, robots, services, voice assistant",5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,Engadget,1515287940000,classified,5a4468486f7af13a5a457c6c,IAB19-73,Google,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,google,Why is Google taking over Vegas for CES 2018?,Technology,https://www.engadget.com/2018/01/06/google-assistant-taking-over-CES-2018/
5a521e47670c7645a286c1da,Mariella Moon,"[ ""News"", ""US News"" ]","border guard, border search, customs and border protection, directives, gear, privacy, security, transportation",5a42ed6e527d3d240b8140ea,IAB12,News,news,Engadget,1515284940000,classified,5a44d8eb527d3d3ad9df95ba,IAB12-2,US News,5a42ed6e527d3d240b8140ea,IAB12,News,news,us_news,US border guards searched 60 percent more devices in 2017,Technology,https://www.engadget.com/2018/01/06/us-border-guard-electronics-searches/
5a521e47670c7645a286c1db,David Lumb,"[ ""Technology"", ""Gadgets"" ]","ces, ces2018, chromebook, education, gear, hp, hp chromebook 11 g6, personal computing",5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,Engadget,1515279600000,classified,5a4470ab527d3d3ad9df9553,IAB19-84,Gadgets,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,gadgets,HP updates its Chromebook lineup with 11- and 14-inch models,Technology,https://www.engadget.com/2018/01/06/hp-updates-its-chromebook-lineup-with-11-and-14-inch-models/
5a521e47670c7645a286c1dc,Jon Fingas,"[ ""News"", ""International News"" ]","apollo, astronaut, gear, gemini, john young, moon, nasa, space, space shuttle, video",5a42ed6e527d3d240b8140ea,IAB12,News,news,Engadget,1515274260000,classified,5a4b39850978e16b1b883b97,IAB12-9,International News,5a42ed6e527d3d240b8140ea,IAB12,News,news,international_news,Original Space Shuttle commander John Young dies,Technology,https://www.engadget.com/2018/01/06/astronaut-john-young-dies/
5a521e47670c7645a286c1dd,Jon Fingas,"[ ""Technology"", ""Gadgets"" ]","acer, ces2018, computer, corei9, desktop, gaming, gear, laptop, nitro5, pc, personal computing, personalcomputing, predator, predator orion 9000, ryzen mobile",5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,Engadget,1515268800000,classified,5a4470ab527d3d3ad9df9553,IAB19-84,Gadgets,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,gadgets,Acer's new gaming PCs include an 18-core liquid-cooled desktop,Technology,https://www.engadget.com/2018/01/06/acer-predator-orion-9000-and-nitro-5/
5a521e47670c7645a286c1de,David Lumb,"[ ""Technology"", ""Gadgets"" ]","acer, acer chromebook 11, ces2018, chromebook, gear, google, laptop, personal computing, personalcomputing",5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,Engadget,1515268800000,classified,5a4470ab527d3d3ad9df9553,IAB19-84,Gadgets,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,gadgets,Acer's latest Chromebook offers 10 hours of battery for $250,Technology,https://www.engadget.com/2018/01/06/acer-s-latest-chromebook-offers-10-hours-of-battery-for-250/
5a5a030e670c7645a286cca5,Geek's Guide to the Galaxy,"[ ""Society"", ""Culture"" ]","Geek's Guide to the Galaxy, TV",5a42ed6e527d3d240b8140df,IAB14,Society,society,wired,1515844800000,classified,5a4468486f7af13a5a457c5d,IAB14-9,Culture,5a42ed6e527d3d240b8140df,IAB14,Society,society,Culture,'Black Mirror' Should Not Be a Shared Universe,Culture,https://www.wired.com/2018/01/geeks-guide-black-mirror-universe
5a5a03ff670c7645a286ccc5,Lucas Matney,"[ ""Technology"", ""Apple"" ]","TC, Apple, china, icloud",5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,techcrunch,1515813485000,classified,5a4468486f7af13a5a457c6d,IAB19-74,Apple,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,apple,Apple says iCloud China data migration notice sent to some users in error,All,http://feedproxy.google.com/~r/Techcrunch/~3/H_GjMXT-TVs/
5a5a0747670c7645a286cd54,Mallory Locklear,"[ ""Technology"", ""Gaming"" ]","av, easports, emls, entertainment, esports, fifa18, fifa18globalseries, fifaeworldcup, football, gaming, majorleaguesoccer, paxeast, soccer",5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,Engadget,1515830220000,classified,5a4468486f7af13a5a457c67,IAB19-68,Gaming,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,gaming,Major League Soccer is creating its own FIFA eSports league,Technology,https://www.engadget.com/2018/01/13/major-league-soccer-fifa-esports-league/
5a5a0747670c7645a286cd55,Mariella Moon,"[ ""Technology"", ""Mobile"" ]","gear, mobile, google play, porn ads",5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,Engadget,1515834180000,classified,5a4468486f7af13a5a457c60,IAB19-67,Mobile,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,mobile,63 games and apps on Google Play served porn ads,Technology,https://www.engadget.com/2018/01/13/adultswine-porn-ads-on-apps/
5a5a0747670c7645a286cd56,Mallory Locklear,"[ ""News"", ""US News"" ]","amazon, daca, donaldtrump, donation, dreamers, facebook, gear, google, jeffbezos, politics, scholarship, services, thedream.us",5a42ed6e527d3d240b8140ea,IAB12,News,news,Engadget,1515819420000,classified,5a44d8eb527d3d3ad9df95ba,IAB12-2,US News,5a42ed6e527d3d240b8140ea,IAB12,News,news,us_news,Bezos family donates $33 million to Dreamers scholarship program,Technology,https://www.engadget.com/2018/01/12/bezos-donates-33-million-dreamers-scholarship/
5a5a0747670c7645a286cd57,Swapna Krishna,"[ ""Technology"", ""AeroSpace"" ]","4k, carbonite-2, earth-i, gaming, gear, satellite, space, tomorrow, vivid-i",5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,Engadget,1515837660000,classified,5a4b51510978e16b1b883bb4,IAB19-86,AeroSpace,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,aerospace,Prototype satellite makes way for 4K 'Earth observation',Technology,https://www.engadget.com/2018/01/13/prototype-satellite-earth-observation-full-color-motion-video/
5a5a0747670c7645a286cd58,David Lumb,"[ ""Technology"", ""Crypto Currencies"" ]","bitcoin, cryptocurrency, food, friedchicken, kfc, services",5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,Engadget,1515843360000,classified,5a446c8c3139fa3abfb1ac81,IAB19-83,Crypto Currencies,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,crypto_currencies,Bitcoin was briefly legal tender at KFC Canada,Technology,https://www.engadget.com/2018/01/13/bitcoin-was-briefly-legal-tender-at-kfc-canada/
5a5df78e670c7645a286d25b,Zeynep Tufekci,"[ ""Business"", ""Technology"" ]","free speech, censorship, media, social media",5a42ed6e527d3d240b8140d4,IAB3,Business,business,wired,1516100400000,classified,5a4468486f7af13a5a457c61,IAB3-13,Technology,5a42ed6e527d3d240b8140d4,IAB3,Business,business,technology,It's the (Democracy-Poisoning) Golden Age of Free Speech,Business,https://www.wired.com/story/free-speech-issue-tech-turmoil-new-censorship
